"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"277" "Sedum_sediforme" 0 "Halictus_sp" 1.12
"278" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.96
"279" "Sedum_sediforme" 0 "Lasioglossum_sp" 1.19
"280" "Sedum_sediforme" 0 "Halictus_sp" 1.92
"281" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.66
"282" "Sonchus_tenerrinus" 1.08 "Halictus_pyrenaicus" 1.96
"283" "Sonchus_tenerrinus" 1.08 "Andrena_cinerea" 2.24
"284" "Sonchus_tenerrinus" 1.08 "Halictus_sp" 1.15
"285" "Sonchus_tenerrinus" 1.08 "Halictus_sp" 1.31
"286" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.75
"287" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.49
"288" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.39
"289" "Sonchus_tenerrinus" 1.08 "Andrena_cinerea" 2
"290" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.33
"291" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.36
"292" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 0.93
"293" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 2.1
"294" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.5
"295" "Sonchus_tenerrinus" 1.08 "Lasioglossum??_sp" 1.47
"296" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.51
"297" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.14
"298" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.46
"299" "Sonchus_tenerrinus" 1.08 "Prosopis(Hylaeus)_sp??" 1.04
"300" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.9
"301" "Sonchus_tenerrinus" 1.08 "Hoplitis_sp" 1.86
"302" "Sonchus_tenerrinus" 1.08 "Hoplitis_sp" 1.88
"303" "Sonchus_tenerrinus" 1.08 "Hylaeus_sp" 0.99
"304" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.76
"305" "Sonchus_tenerrinus" 1.08 "Nomada_sp" 0.96
"306" "Sonchus_tenerrinus" 1.08 "Andrena_cinerea" 2.35
"307" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.56
"308" "Sonchus_tenerrinus" 1.08 "Halictus_pyrenaicus" 2.14
"309" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.59
"310" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.03
"311" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.59
"312" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.72
"313" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.07
"314" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.63
"315" "Sonchus_tenerrinus" 1.08 "Andrena_cinerea" 2.17
"316" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.71
"317" "Sonchus_tenerrinus" 1.08 "Hylaeus_sp" 1.04
"318" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.62
"319" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.27
"320" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 0.92
"321" "Sonchus_tenerrinus" 1.08 "Nomada_sp" 1.26
"322" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.54
"323" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.38
"324" "Sonchus_tenerrinus" 1.08 "Andrena_ovatula" 1.89
"325" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.35
"326" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.7
"327" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.91
"328" "Sonchus_tenerrinus" 1.08 "Panurgus_sp" 1.34
